Title,Description,Category,PriorityScore
Electric wire reported near office area,electric wire near office area minor issue observed,Public Safety,0.119
Facility damage reported at junction,facility damage at junction routine maintenance needed,Civic Services,0.261
Lighting system reported in public park,lighting system in public park no major inconvenience,Street Lighting,0.135
Sewage overflow reported on highway,sewage overflow on highway minor issue observed,Water & Drainage,0.37
Park bench reported on highway,park bench on highway not urgent,Public Spaces,0.254
Bus stop reported near school,bus stop near school routine maintenance needed,Public Spaces,0.239
Traffic congestion reported at bus stop,traffic congestion at bus stop can be fixed later,Traffic & Transport,0.345
Sewage overflow reported at hospital,sewage overflow at hospital minor issue observed,Water & Drainage,0.227
Sinkhole reported near school,sinkhole near school minor issue observed,Roads & Infra,0.396
Park bench reported in residential area,park bench in residential area no major inconvenience,Public Spaces,0.154
Flickering light reported near market,flickering light near market no major inconvenience,Street Lighting,0.235
Dust reported at hospital,dust at hospital low impact problem,Environment,0.389
Signboard reported near market,signboard near market minor issue observed,Civic Services,0.154
Municipal office issue reported in public park,municipal office issue in public park not urgent,Civic Services,0.318
Water leakage reported near school,water leakage near school can be fixed later,Water & Drainage,0.239
Municipal office issue reported in public park,municipal office issue in public park no major inconvenience,Civic Services,0.347
Waterlogging reported near market,waterlogging near market not urgent,Water & Drainage,0.183
Pothole reported at bus stop,pothole at bus stop routine maintenance needed,Roads & Infra,0.33
Overflowing bin reported at junction,overflowing bin at junction minor issue observed,Waste & Sanitation,0.13
Trash heap reported near office area,trash heap near office area low impact problem,Waste & Sanitation,0.311
Overflowing bin reported near school,overflowing bin near school no major inconvenience,Waste & Sanitation,0.232
Signboard reported near school,signboard near school not urgent,Civic Services,0.251
Blocked road reported near office area,blocked road near office area can be fixed later,Traffic & Transport,0.273
Power line reported in residential area,power line in residential area not urgent,Public Safety,0.396
Signboard reported at bus stop,signboard at bus stop can be fixed later,Civic Services,0.183
Facility damage reported on main road,facility damage on main road low impact problem,Civic Services,0.304
Municipal office issue reported near school,municipal office issue near school can be fixed later,Civic Services,0.382
Chemical spill reported near market,chemical spill near market low impact problem,Environment,0.225
Lighting system reported at bus stop,lighting system at bus stop not urgent,Street Lighting,0.326
Playground equipment reported at junction,playground equipment at junction can be fixed later,Public Spaces,0.357
Flickering light reported near school,flickering light near school routine maintenance needed,Street Lighting,0.224
Chemical spill reported in public park,chemical spill in public park not urgent,Environment,0.217
Blocked road reported near market,blocked road near market low impact problem,Traffic & Transport,0.124
Footpath reported at hospital,footpath at hospital routine maintenance needed,Public Spaces,0.317
Water leakage reported in residential area,water leakage in residential area no major inconvenience,Water & Drainage,0.302
Hospital equipment reported at hospital,hospital equipment at hospital not urgent,Healthcare,0.341
Health hazard reported at junction,health hazard at junction no major inconvenience,Healthcare,0.163
Electric pole reported near school,electric pole near school not urgent,Public Safety,0.381
Broken pavement reported at junction,broken pavement at junction low impact problem,Roads & Infra,0.281
Waterlogging reported at junction,waterlogging at junction routine maintenance needed,Water & Drainage,0.196
Accident reported on highway,accident on highway routine maintenance needed,Traffic & Transport,0.295
Vehicle jam reported near market,vehicle jam near market routine maintenance needed,Traffic & Transport,0.365
Park bench reported on highway,park bench on highway can be fixed later,Public Spaces,0.374
Electric pole reported at bus stop,electric pole at bus stop minor issue observed,Public Safety,0.269
Pipe burst reported near school,pipe burst near school can be fixed later,Water & Drainage,0.266
Health hazard reported at bus stop,health hazard at bus stop can be fixed later,Healthcare,0.146
Power line reported at bus stop,power line at bus stop routine maintenance needed,Public Safety,0.35
Bus stop reported near market,bus stop near market can be fixed later,Public Spaces,0.329
Public park reported on highway,public park on highway not urgent,Public Spaces,0.32
Power line reported on main road,power line on main road low impact problem,Public Safety,0.264
Dark street reported near school,dark street near school routine maintenance needed,Street Lighting,0.11
Pothole reported near school,pothole near school no major inconvenience,Roads & Infra,0.141
Water leakage reported on main road,water leakage on main road minor issue observed,Water & Drainage,0.166
Footpath reported near school,footpath near school routine maintenance needed,Public Spaces,0.291
Clinic issue reported on highway,clinic issue on highway minor issue observed,Healthcare,0.102
Municipal office issue reported near school,municipal office issue near school minor issue observed,Civic Services,0.259
Collision reported in residential area,collision in residential area minor issue observed,Traffic & Transport,0.251
Air pollution reported at hospital,air pollution at hospital minor issue observed,Environment,0.257
Pipe burst reported near office area,pipe burst near office area routine maintenance needed,Water & Drainage,0.176
Electric pole reported at bus stop,electric pole at bus stop minor issue observed,Public Safety,0.212
Dust reported near office area,dust near office area not urgent,Environment,0.397
Drain overflow reported at hospital,drain overflow at hospital low impact problem,Water & Drainage,0.398
Garbage pile reported at bus stop,garbage pile at bus stop no major inconvenience,Waste & Sanitation,0.213
Park bench reported near school,park bench near school low impact problem,Public Spaces,0.151
Public park reported near market,public park near market routine maintenance needed,Public Spaces,0.393
Sinkhole reported near school,sinkhole near school not urgent,Roads & Infra,0.163
Clinic issue reported in residential area,clinic issue in residential area minor issue observed,Healthcare,0.377
Collision reported near office area,collision near office area low impact problem,Traffic & Transport,0.11
Electric wire reported at junction,electric wire at junction routine maintenance needed,Public Safety,0.143
Smoke reported in residential area,smoke in residential area not urgent,Environment,0.269
Clinic issue reported in public park,clinic issue in public park can be fixed later,Healthcare,0.215
Streetlight reported in public park,streetlight in public park low impact problem,Street Lighting,0.392
Garbage pile reported at bus stop,garbage pile at bus stop not urgent,Waste & Sanitation,0.352
Gas leak reported near office area,gas leak near office area routine maintenance needed,Public Safety,0.219
Electric wire reported in residential area,electric wire in residential area no major inconvenience,Public Safety,0.247
Gas leak reported at bus stop,gas leak at bus stop no major inconvenience,Public Safety,0.156
Clinic issue reported at hospital,clinic issue at hospital routine maintenance needed,Healthcare,0.189
Water leakage reported at hospital,water leakage at hospital can be fixed later,Water & Drainage,0.146
Flickering light reported near market,flickering light near market can be fixed later,Street Lighting,0.132
Waste accumulation reported on highway,waste accumulation on highway can be fixed later,Waste & Sanitation,0.328
Road crack reported at hospital,road crack at hospital not urgent,Roads & Infra,0.229
Facility damage reported in public park,facility damage in public park no major inconvenience,Civic Services,0.131
Damaged road reported in public park,damaged road in public park minor issue observed,Roads & Infra,0.279
Building collapse reported at bus stop,building collapse at bus stop minor issue observed,Public Safety,0.188
Smoke reported in public park,smoke in public park not urgent,Environment,0.272
Flickering light reported on main road,flickering light on main road not urgent,Street Lighting,0.181
Accident reported on main road,accident on main road minor issue observed,Traffic & Transport,0.15
Accident reported in residential area,accident in residential area no major inconvenience,Traffic & Transport,0.335
Electric pole reported at junction,electric pole at junction low impact problem,Public Safety,0.288
Health hazard reported at junction,health hazard at junction no major inconvenience,Healthcare,0.132
Traffic congestion reported at bus stop,traffic congestion at bus stop can be fixed later,Traffic & Transport,0.352
Burning waste reported on highway,burning waste on highway can be fixed later,Environment,0.229
Ambulance delay reported in residential area,ambulance delay in residential area can be fixed later,Healthcare,0.281
Waterlogging reported near market,waterlogging near market not urgent,Water & Drainage,0.389
Electric pole reported on highway,electric pole on highway routine maintenance needed,Public Safety,0.335
Fire reported in residential area,fire in residential area no major inconvenience,Public Safety,0.21
Ambulance delay reported near office area,ambulance delay near office area routine maintenance needed,Healthcare,0.154
Public toilet reported on highway,public toilet on highway low impact problem,Civic Services,0.163
Traffic congestion reported at bus stop,traffic congestion at bus stop low impact problem,Traffic & Transport,0.25
Blocked road reported in residential area,blocked road in residential area low impact problem,Traffic & Transport,0.146
Dust reported at hospital,dust at hospital no major inconvenience,Environment,0.397
Bus stop reported at bus stop,bus stop at bus stop routine maintenance needed,Public Spaces,0.252
Chemical spill reported near school,chemical spill near school can be fixed later,Environment,0.31
Facility damage reported at hospital,facility damage at hospital minor issue observed,Civic Services,0.331
Power line reported near office area,power line near office area minor issue observed,Public Safety,0.269
Burning waste reported at bus stop,burning waste at bus stop minor issue observed,Environment,0.103
Blocked road reported in public park,blocked road in public park low impact problem,Traffic & Transport,0.256
Health hazard reported at junction,health hazard at junction no major inconvenience,Healthcare,0.212
Bus stop reported in public park,bus stop in public park not urgent,Public Spaces,0.203
Trash heap reported at hospital,trash heap at hospital can be fixed later,Waste & Sanitation,0.225
Pothole reported on main road,pothole on main road can be fixed later,Roads & Infra,0.194
Playground equipment reported in public park,playground equipment in public park no major inconvenience,Public Spaces,0.204
Broken pavement reported on highway,broken pavement on highway can be fixed later,Roads & Infra,0.12
Garbage pile reported near school,garbage pile near school can be fixed later,Waste & Sanitation,0.294
Lamp post reported in public park,lamp post in public park not urgent,Street Lighting,0.266
Gas leak reported at bus stop,gas leak at bus stop no major inconvenience,Public Safety,0.17
Air pollution reported on main road,air pollution on main road low impact problem,Environment,0.297
Smoke reported near office area,smoke near office area not urgent,Environment,0.235
Dust reported near school,dust near school low impact problem,Environment,0.164
Traffic congestion reported near office area,traffic congestion near office area minor issue observed,Traffic & Transport,0.34
Signboard reported near market,signboard near market can be fixed later,Civic Services,0.159
Damaged road reported on highway,damaged road on highway routine maintenance needed,Roads & Infra,0.39
Gas leak reported at bus stop,gas leak at bus stop routine maintenance needed,Public Safety,0.218
Damaged road reported near market,damaged road near market no major inconvenience,Roads & Infra,0.285
Collision reported near office area,collision near office area minor issue observed,Traffic & Transport,0.302
Electric wire reported at junction,electric wire at junction can be fixed later,Public Safety,0.135
Explosion risk reported on main road,explosion risk on main road routine maintenance needed,Public Safety,0.217
Ambulance delay reported near office area,ambulance delay near office area no major inconvenience,Healthcare,0.227
Bus stop reported on main road,bus stop on main road routine maintenance needed,Public Spaces,0.15
Blocked road reported on main road,blocked road on main road can be fixed later,Traffic & Transport,0.353
Hospital equipment reported near market,hospital equipment near market minor issue observed,Healthcare,0.245
Waterlogging reported in public park,waterlogging in public park routine maintenance needed,Water & Drainage,0.296
Dust reported at bus stop,dust at bus stop low impact problem,Environment,0.352
Playground equipment reported at hospital,playground equipment at hospital routine maintenance needed,Public Spaces,0.109
Drain overflow reported near school,drain overflow near school can be fixed later,Water & Drainage,0.167
Blocked road reported on highway,blocked road on highway routine maintenance needed,Traffic & Transport,0.323
Bus stop reported in public park,bus stop in public park minor issue observed,Public Spaces,0.272
Collision reported near market,collision near market routine maintenance needed,Traffic & Transport,0.347
Trash heap reported in public park,trash heap in public park not urgent,Waste & Sanitation,0.397
Road crack reported in residential area,road crack in residential area minor issue observed,Roads & Infra,0.235
Building collapse reported at hospital,building collapse at hospital no major inconvenience,Public Safety,0.36
Road crack reported at junction,road crack at junction low impact problem,Roads & Infra,0.276
Building collapse reported near office area,building collapse near office area low impact problem,Public Safety,0.228
Ambulance delay reported at junction,ambulance delay at junction not urgent,Healthcare,0.342
Medical waste reported in public park,medical waste in public park can be fixed later,Healthcare,0.279
Lighting system reported in residential area,lighting system in residential area can be fixed later,Street Lighting,0.272
Public toilet reported on main road,public toilet on main road no major inconvenience,Civic Services,0.376
Blocked road reported on main road,blocked road on main road not urgent,Traffic & Transport,0.144
Building collapse reported at junction,building collapse at junction low impact problem,Public Safety,0.218
Dark street reported in residential area,dark street in residential area low impact problem,Street Lighting,0.224
Park bench reported at hospital,park bench at hospital no major inconvenience,Public Spaces,0.255
Vehicle jam reported on highway,vehicle jam on highway no major inconvenience,Traffic & Transport,0.198
Garbage pile reported on highway,garbage pile on highway low impact problem,Waste & Sanitation,0.299
Building collapse reported at hospital,building collapse at hospital routine maintenance needed,Public Safety,0.219
Air pollution reported on highway,air pollution on highway can be fixed later,Environment,0.197
Vehicle jam reported in public park,vehicle jam in public park routine maintenance needed,Traffic & Transport,0.139
Footpath reported near school,footpath near school minor issue observed,Public Spaces,0.13
Park bench reported at hospital,park bench at hospital not urgent,Public Spaces,0.232
Trash heap reported at junction,trash heap at junction low impact problem,Waste & Sanitation,0.373
Blocked road reported in residential area,blocked road in residential area minor issue observed,Traffic & Transport,0.296
Traffic congestion reported near market,traffic congestion near market low impact problem,Traffic & Transport,0.371
Streetlight reported at bus stop,streetlight at bus stop low impact problem,Street Lighting,0.192
Waterlogging reported at hospital,waterlogging at hospital low impact problem,Water & Drainage,0.129
Waterlogging reported at hospital,waterlogging at hospital not urgent,Water & Drainage,0.278
Municipal office issue reported near school,municipal office issue near school minor issue observed,Civic Services,0.309
Broken pavement reported on main road,broken pavement on main road no major inconvenience,Roads & Infra,0.121
Smoke reported at hospital,smoke at hospital minor issue observed,Environment,0.194
Blocked road reported at bus stop,blocked road at bus stop not urgent,Traffic & Transport,0.292
Streetlight reported in public park,streetlight in public park routine maintenance needed,Street Lighting,0.103
Flickering light reported near market,flickering light near market low impact problem,Street Lighting,0.164
Flickering light reported near office area,flickering light near office area low impact problem,Street Lighting,0.233
Water leakage reported at hospital,water leakage at hospital not urgent,Water & Drainage,0.326
Clinic issue reported near market,clinic issue near market no major inconvenience,Healthcare,0.194
Lamp post reported in residential area,lamp post in residential area low impact problem,Street Lighting,0.125
Facility damage reported near office area,facility damage near office area low impact problem,Civic Services,0.282
Waste accumulation reported at junction,waste accumulation at junction routine maintenance needed,Waste & Sanitation,0.282
Waterlogging reported in residential area,waterlogging in residential area low impact problem,Water & Drainage,0.116
Waterlogging reported at bus stop,waterlogging at bus stop minor issue observed,Water & Drainage,0.172
Hospital equipment reported in public park,hospital equipment in public park minor issue observed,Healthcare,0.396
Power line reported at bus stop,power line at bus stop routine maintenance needed,Public Safety,0.226
Signboard reported on highway,signboard on highway minor issue observed,Civic Services,0.105
Pothole reported in residential area,pothole in residential area not urgent,Roads & Infra,0.112
Trash heap reported in public park,trash heap in public park can be fixed later,Waste & Sanitation,0.289
Municipal office issue reported at bus stop,municipal office issue at bus stop low impact problem,Civic Services,0.221
Facility damage reported near office area,facility damage near office area not urgent,Civic Services,0.183
Traffic congestion reported in public park,traffic congestion in public park not urgent,Traffic & Transport,0.392
Dark street reported near market,dark street near market no major inconvenience,Street Lighting,0.276
Damaged road reported at bus stop,damaged road at bus stop low impact problem,Roads & Infra,0.386
Water leakage reported at junction,water leakage at junction minor issue observed,Water & Drainage,0.377
Broken pavement reported near office area,broken pavement near office area routine maintenance needed,Roads & Infra,0.117
Streetlight reported near school,streetlight near school low impact problem,Street Lighting,0.141
Overflowing bin reported on highway,overflowing bin on highway can be fixed later,Waste & Sanitation,0.257
Blocked road reported near market,blocked road near market not urgent,Traffic & Transport,0.325
Traffic congestion reported near school,traffic congestion near school can be fixed later,Traffic & Transport,0.342
Collision reported at hospital,collision at hospital can be fixed later,Traffic & Transport,0.314
Hospital equipment reported on highway,hospital equipment on highway no major inconvenience,Healthcare,0.253
Trash heap reported near office area,trash heap near office area not urgent,Waste & Sanitation,0.21
Traffic congestion reported near office area,traffic congestion near office area low impact problem,Traffic & Transport,0.317
Sewage overflow reported near school,sewage overflow near school minor issue observed,Water & Drainage,0.358
Overflowing bin reported near school,overflowing bin near school no major inconvenience,Waste & Sanitation,0.209
Lamp post reported near school,lamp post near school routine maintenance needed,Street Lighting,0.341
Air pollution reported near market,air pollution near market not urgent,Environment,0.225
Electric pole reported at hospital,electric pole at hospital routine maintenance needed,Public Safety,0.212
Public toilet reported on main road,public toilet on main road not urgent,Civic Services,0.341
Trash heap reported at hospital,trash heap at hospital no major inconvenience,Waste & Sanitation,0.36
Vehicle jam reported at hospital,vehicle jam at hospital routine maintenance needed,Traffic & Transport,0.237
Power line reported in residential area,power line in residential area routine maintenance needed,Public Safety,0.335
Ambulance delay reported on highway,ambulance delay on highway can be fixed later,Healthcare,0.278
Playground equipment reported in public park,playground equipment in public park not urgent,Public Spaces,0.145
Smoke reported at junction,smoke at junction routine maintenance needed,Environment,0.204
Waste accumulation reported near school,waste accumulation near school low impact problem,Waste & Sanitation,0.213
Traffic congestion reported at junction,traffic congestion at junction routine maintenance needed,Traffic & Transport,0.395
Dust reported near school,dust near school not urgent,Environment,0.313
Pothole reported at junction,pothole at junction routine maintenance needed,Roads & Infra,0.224
Fire reported at hospital,fire at hospital routine maintenance needed,Public Safety,0.129
Flickering light reported at hospital,flickering light at hospital routine maintenance needed,Street Lighting,0.27
Air pollution reported at junction,air pollution at junction can be fixed later,Environment,0.178
Building collapse reported at bus stop,building collapse at bus stop low impact problem,Public Safety,0.35
Electric pole reported on highway,electric pole on highway can be fixed later,Public Safety,0.17
Pipe burst reported near office area,pipe burst near office area minor issue observed,Water & Drainage,0.147
Flickering light reported on highway,flickering light on highway can be fixed later,Street Lighting,0.222
Street sign reported at junction,street sign at junction no major inconvenience,Civic Services,0.192
Traffic congestion reported at hospital,traffic congestion at hospital not urgent,Traffic & Transport,0.342
Collision reported near school,collision near school not urgent,Traffic & Transport,0.351
Power line reported at hospital,power line at hospital low impact problem,Public Safety,0.174
Fire reported in public park,fire in public park minor issue observed,Public Safety,0.303
Blocked road reported near school,blocked road near school no major inconvenience,Traffic & Transport,0.356
Facility damage reported at junction,facility damage at junction minor issue observed,Civic Services,0.239
Streetlight reported near school,streetlight near school minor issue observed,Street Lighting,0.349
Pipe burst reported at junction,pipe burst at junction no major inconvenience,Water & Drainage,0.212
Sinkhole reported near office area,sinkhole near office area can be fixed later,Roads & Infra,0.375
Pothole reported at hospital,pothole at hospital not urgent,Roads & Infra,0.371
Playground equipment reported at hospital,playground equipment at hospital can be fixed later,Public Spaces,0.137
Park bench reported on main road,park bench on main road routine maintenance needed,Public Spaces,0.23
Dust reported near school,dust near school no major inconvenience,Environment,0.305
Lighting system reported at junction,lighting system at junction not urgent,Street Lighting,0.182
Playground equipment reported near school,playground equipment near school routine maintenance needed,Public Spaces,0.286
Drain overflow reported on highway,drain overflow on highway no major inconvenience,Water & Drainage,0.365
Park bench reported at hospital,park bench at hospital can be fixed later,Public Spaces,0.215
Air pollution reported in public park,air pollution in public park not urgent,Environment,0.289
Public toilet reported at bus stop,public toilet at bus stop low impact problem,Civic Services,0.208
Municipal office issue reported near market,municipal office issue near market routine maintenance needed,Civic Services,0.251
Burning waste reported on main road,burning waste on main road minor issue observed,Environment,0.196
Water leakage reported in residential area,water leakage in residential area minor issue observed,Water & Drainage,0.343
Bus stop reported near market,bus stop near market routine maintenance needed,Public Spaces,0.4
Streetlight reported at junction,streetlight at junction low impact problem,Street Lighting,0.172
Public toilet reported at junction,public toilet at junction routine maintenance needed,Civic Services,0.354
Burning waste reported on main road,burning waste on main road not urgent,Environment,0.171
Building collapse reported near market,building collapse near market routine maintenance needed,Public Safety,0.108
Gas leak reported near office area,gas leak near office area not urgent,Public Safety,0.269
Waterlogging reported in public park,waterlogging in public park can be fixed later,Water & Drainage,0.153
Garbage pile reported near school,garbage pile near school not urgent,Waste & Sanitation,0.28
Litter reported on highway,litter on highway minor issue observed,Waste & Sanitation,0.2
Ambulance delay reported on main road,ambulance delay on main road can be fixed later,Healthcare,0.315
Electric wire reported near school,electric wire near school not urgent,Public Safety,0.276
Streetlight reported in public park,streetlight in public park can be fixed later,Street Lighting,0.388
Explosion risk reported at bus stop,explosion risk at bus stop routine maintenance needed,Public Safety,0.13
Vehicle jam reported on main road,vehicle jam on main road not urgent,Traffic & Transport,0.32
Dust reported near market,dust near market not urgent,Environment,0.312
Facility damage reported near market,facility damage near market not urgent,Civic Services,0.3
Flickering light reported in residential area,flickering light in residential area low impact problem,Street Lighting,0.307
Lamp post reported near school,lamp post near school low impact problem,Street Lighting,0.385
Chemical spill reported near school,chemical spill near school not urgent,Environment,0.281
Ambulance delay reported near office area,ambulance delay near office area minor issue observed,Healthcare,0.381
Lighting system reported at hospital,lighting system at hospital not urgent,Street Lighting,0.204
Power line reported at hospital,power line at hospital low impact problem,Public Safety,0.301
Fire reported near school,fire near school can be fixed later,Public Safety,0.163
Damaged road reported in residential area,damaged road in residential area minor issue observed,Roads & Infra,0.316
Trash heap reported on highway,trash heap on highway low impact problem,Waste & Sanitation,0.226
Flickering light reported on highway,flickering light on highway no major inconvenience,Street Lighting,0.205
Smoke reported on highway,smoke on highway routine maintenance needed,Environment,0.295
Pipe burst reported on highway,pipe burst on highway minor issue observed,Water & Drainage,0.34
Waste accumulation reported near school,waste accumulation near school can be fixed later,Waste & Sanitation,0.178
Pothole reported near market,pothole near market not urgent,Roads & Infra,0.366
Streetlight reported in public park,streetlight in public park minor issue observed,Street Lighting,0.201
Clinic issue reported near school,clinic issue near school no major inconvenience,Healthcare,0.383
Dark street reported at bus stop,dark street at bus stop not urgent,Street Lighting,0.116
Power line reported at junction,power line at junction no major inconvenience,Public Safety,0.309
Street sign reported in residential area,street sign in residential area can be fixed later,Civic Services,0.171
Trash heap reported near office area,trash heap near office area routine maintenance needed,Waste & Sanitation,0.352
Streetlight reported near market,streetlight near market minor issue observed,Street Lighting,0.228
Collision reported on highway,collision on highway not urgent,Traffic & Transport,0.129
Pipe burst reported in residential area,pipe burst in residential area minor issue observed,Water & Drainage,0.242
Damaged road reported at bus stop,damaged road at bus stop no major inconvenience,Roads & Infra,0.247
Traffic congestion reported in public park,traffic congestion in public park no major inconvenience,Traffic & Transport,0.155
Burning waste reported on main road,burning waste on main road no major inconvenience,Environment,0.113
Public park reported in residential area,public park in residential area not urgent,Public Spaces,0.351
Hospital equipment reported on main road,hospital equipment on main road low impact problem,Healthcare,0.3
Damaged road reported in public park,damaged road in public park no major inconvenience,Roads & Infra,0.391
Ambulance delay reported in public park,ambulance delay in public park minor issue observed,Healthcare,0.352
Municipal office issue reported in public park,municipal office issue in public park low impact problem,Civic Services,0.36
Bus stop reported at junction,bus stop at junction no major inconvenience,Public Spaces,0.19
Smoke reported in public park,smoke in public park routine maintenance needed,Environment,0.37
Health hazard reported on main road,health hazard on main road minor issue observed,Healthcare,0.385
Playground equipment reported on main road,playground equipment on main road not urgent,Public Spaces,0.343
Streetlight reported at bus stop,streetlight at bus stop minor issue observed,Street Lighting,0.396
Air pollution reported on main road,air pollution on main road routine maintenance needed,Environment,0.177
Pothole reported at bus stop,pothole at bus stop routine maintenance needed,Roads & Infra,0.219
Building collapse reported in residential area,building collapse in residential area routine maintenance needed,Public Safety,0.237
Litter reported near office area,litter near office area routine maintenance needed,Waste & Sanitation,0.335
Broken pavement reported on main road,broken pavement on main road not urgent,Roads & Infra,0.27
Hospital equipment reported at hospital,hospital equipment at hospital routine maintenance needed,Healthcare,0.334
Collision reported near market,collision near market no major inconvenience,Traffic & Transport,0.179
Bus stop reported near office area,bus stop near office area no major inconvenience,Public Spaces,0.111
Accident reported on main road,accident on main road routine maintenance needed,Traffic & Transport,0.283
Smoke reported at bus stop,smoke at bus stop can be fixed later,Environment,0.307
Trash heap reported in residential area,trash heap in residential area can be fixed later,Waste & Sanitation,0.106
Vehicle jam reported in residential area,vehicle jam in residential area no major inconvenience,Traffic & Transport,0.357
Road crack reported on main road,road crack on main road can be fixed later,Roads & Infra,0.392
Footpath reported in residential area,footpath in residential area low impact problem,Public Spaces,0.225
Road crack reported on highway,road crack on highway not urgent,Roads & Infra,0.374
Dust reported in public park,dust in public park can be fixed later,Environment,0.346
Signboard reported at hospital,signboard at hospital can be fixed later,Civic Services,0.313
Air pollution reported in public park,air pollution in public park routine maintenance needed,Environment,0.109
Pipe burst reported near school,pipe burst near school not urgent,Water & Drainage,0.11
Waste accumulation reported at junction,waste accumulation at junction can be fixed later,Waste & Sanitation,0.211
Bus stop reported at bus stop,bus stop at bus stop low impact problem,Public Spaces,0.377
Overflowing bin reported near market,overflowing bin near market no major inconvenience,Waste & Sanitation,0.278
Flickering light reported near office area,flickering light near office area routine maintenance needed,Street Lighting,0.205
Lighting system reported at hospital,lighting system at hospital can be fixed later,Street Lighting,0.108
Overflowing bin reported near office area,overflowing bin near office area not urgent,Waste & Sanitation,0.357
Pipe burst reported in residential area,pipe burst in residential area low impact problem,Water & Drainage,0.223
Garbage pile reported on highway,garbage pile on highway not urgent,Waste & Sanitation,0.294
Hospital equipment reported at junction,hospital equipment at junction can be fixed later,Healthcare,0.283
Vehicle jam reported at bus stop,vehicle jam at bus stop no major inconvenience,Traffic & Transport,0.355
Footpath reported at junction,footpath at junction no major inconvenience,Public Spaces,0.191
Facility damage reported at bus stop,facility damage at bus stop routine maintenance needed,Civic Services,0.131
Street sign reported in public park,street sign in public park low impact problem,Civic Services,0.278
Vehicle jam reported at hospital,vehicle jam at hospital no major inconvenience,Traffic & Transport,0.119
Vehicle jam reported in residential area,vehicle jam in residential area can be fixed later,Traffic & Transport,0.297
Blocked road reported on main road,blocked road on main road routine maintenance needed,Traffic & Transport,0.33
Litter reported at bus stop,litter at bus stop low impact problem,Waste & Sanitation,0.196
Streetlight reported on highway,streetlight on highway can be fixed later,Street Lighting,0.178
Dust reported at bus stop,dust at bus stop low impact problem,Environment,0.111
Ambulance delay reported near market,ambulance delay near market low impact problem,Healthcare,0.314
Municipal office issue reported near market,municipal office issue near market routine maintenance needed,Civic Services,0.19
Dark street reported on main road,dark street on main road can be fixed later,Street Lighting,0.129
Lighting system reported in public park,lighting system in public park not urgent,Street Lighting,0.384
Explosion risk reported at hospital,explosion risk at hospital not urgent,Public Safety,0.207
Accident reported near market,accident near market can be fixed later,Traffic & Transport,0.178
Accident reported at hospital,accident at hospital no major inconvenience,Traffic & Transport,0.116
Health hazard reported near office area,health hazard near office area minor issue observed,Healthcare,0.242
Sewage overflow reported at hospital,sewage overflow at hospital low impact problem,Water & Drainage,0.215
Accident reported near school,accident near school not urgent,Traffic & Transport,0.141
Drain overflow reported at bus stop,drain overflow at bus stop routine maintenance needed,Water & Drainage,0.368
Playground equipment reported near market,playground equipment near market low impact problem,Public Spaces,0.154
Broken pavement reported near market,broken pavement near market low impact problem,Roads & Infra,0.396
Explosion risk reported near school,explosion risk near school minor issue observed,Public Safety,0.236
Pipe burst reported near office area,pipe burst near office area not urgent,Water & Drainage,0.247
Road crack reported near office area,road crack near office area no major inconvenience,Roads & Infra,0.29
Dust reported on highway,dust on highway no major inconvenience,Environment,0.101
Signboard reported near market,signboard near market minor issue observed,Civic Services,0.368
Signboard reported near school,signboard near school low impact problem,Civic Services,0.101
Pipe burst reported near market,pipe burst near market can be fixed later,Water & Drainage,0.139
Chemical spill reported near office area,chemical spill near office area can be fixed later,Environment,0.15
Waste accumulation reported in residential area,waste accumulation in residential area no major inconvenience,Waste & Sanitation,0.318
Health hazard reported near market,health hazard near market no major inconvenience,Healthcare,0.366
Lighting system reported on highway,lighting system on highway can be fixed later,Street Lighting,0.325
Flickering light reported near school,flickering light near school not urgent,Street Lighting,0.167
Lamp post reported near school,lamp post near school routine maintenance needed,Street Lighting,0.251
Damaged road reported near school,damaged road near school no major inconvenience,Roads & Infra,0.363
Collision reported near office area,collision near office area minor issue observed,Traffic & Transport,0.278
Garbage pile reported near school,garbage pile near school minor issue observed,Waste & Sanitation,0.307
Dust reported at bus stop,dust at bus stop minor issue observed,Environment,0.264
Playground equipment reported at junction,playground equipment at junction low impact problem,Public Spaces,0.306
Waste accumulation reported at bus stop,waste accumulation at bus stop low impact problem,Waste & Sanitation,0.13
Street sign reported near office area,street sign near office area routine maintenance needed,Civic Services,0.31
Smoke reported in public park,smoke in public park low impact problem,Environment,0.285
Traffic congestion reported at hospital,traffic congestion at hospital no major inconvenience,Traffic & Transport,0.16
Drain overflow reported in public park,drain overflow in public park not urgent,Water & Drainage,0.207
Burning waste reported on main road,burning waste on main road minor issue observed,Environment,0.264
Waterlogging reported near market,waterlogging near market not urgent,Water & Drainage,0.101
Pothole reported near office area,pothole near office area low impact problem,Roads & Infra,0.248
Sinkhole reported at hospital,sinkhole at hospital low impact problem,Roads & Infra,0.317
Blocked road reported on highway,blocked road on highway can be fixed later,Traffic & Transport,0.179
Garbage pile reported on main road,garbage pile on main road minor issue observed,Waste & Sanitation,0.356
Building collapse reported near market,building collapse near market no major inconvenience,Public Safety,0.322
Pothole reported near school,pothole near school not urgent,Roads & Infra,0.299
Lighting system reported near market,lighting system near market no major inconvenience,Street Lighting,0.387
Traffic congestion reported near market,traffic congestion near market can be fixed later,Traffic & Transport,0.155
Dust reported on highway,dust on highway can be fixed later,Environment,0.351
